Date,Ball,X
104/06/19,X5,38
104/06/19,X6,3
104/06/19,S,15
104/06/16,X1,35
104/06/16,X2,41
104/06/16,X3,4
104/06/16,X4,25
104/06/16,X5,3
104/06/16,X6,45
104/06/16,S,7
104/06/12,X1,28
104/06/12,X2,8
104/06/12,X3,24
104/06/12,X4,22
104/06/12,X5,19
104/06/12,X6,26
104/06/12,S,18
104/06/09,X1,37
104/06/09,X2,3
104/06/09,X3,20
104/06/09,X4,27
104/06/09,X5,44
104/06/09,X6,34
104/06/09,S,12
104/06/05,X1,41
104/06/05,X2,8
104/06/05,X3,48
104/06/05,X4,32
104/06/05,X5,21
104/06/05,X6,35
104/06/05,S,34
104/06/02,X1,7
104/06/02,X2,1
104/06/02,X3,20
104/06/02,X4,19
104/06/02,X5,46
104/06/02,X6,47
104/06/02,S,13
104/05/29,X1,2
104/05/29,X2,34
104/05/29,X3,32
104/05/29,X4,11
104/05/29,X5,28
104/05/29,X6,5
104/05/29,S,24
104/05/26,X1,10
104/05/26,X2,26
104/05/26,X3,45
104/05/26,X4,11
104/05/26,X5,2
104/05/26,X6,20
104/05/26,S,30
104/05/22,X1,23
104/05/22,X2,3
104/05/22,X3,43
104/05/22,X4,28
104/05/22,X5,37
104/05/22,X6,21
104/05/22,S,5
104/05/19,X1,46
104/05/19,X2,16
104/05/19,X3,15
104/05/19,X4,42
104/05/19,X5,29
104/05/19,X6,39
104/05/19,S,14
104/05/15,X1,27
104/05/15,X2,32
104/05/15,X3,18
104/05/15,X4,6
104/05/15,X5,29
104/05/15,X6,3
104/05/15,S,40
104/05/12,X1,1
104/05/12,X2,23
104/05/12,X3,29
104/05/12,X4,31
104/05/12,X5,13
104/05/12,X6,33
104/05/12,S,17
104/05/08,X1,44
104/05/08,X2,15
104/05/08,X3,2
104/05/08,X4,28
104/05/08,X5,10
104/05/08,X6,49
104/05/08,S,39
104/05/05,X1,44
104/05/05,X2,41
104/05/05,X3,28
104/05/05,X4,42
104/05/05,X5,49
104/05/05,X6,8
104/05/05,S,30
104/05/01,X1,15
104/05/01,X2,49
104/05/01,X3,25
104/05/01,X4,29
104/05/01,X5,47
104/05/01,X6,8
104/05/01,S,9
104/04/28,X1,3
104/04/28,X2,44
104/04/28,X3,36
104/04/28,X4,26
104/04/28,X5,12
104/04/28,X6,5
104/04/28,S,23
104/04/24,X1,13
104/04/24,X2,25
104/04/24,X3,41
104/04/24,X4,46
104/04/24,X5,35
104/04/24,X6,31
104/04/24,S,49
104/04/21,X1,1
104/04/21,X2,22
104/04/21,X3,3
104/04/21,X4,33
104/04/21,X5,29
104/04/21,X6,11
104/04/21,S,30
104/04/17,X1,47
104/04/17,X2,45
104/04/17,X3,26
104/04/17,X4,36
104/04/17,X5,33
104/04/17,X6,32
104/04/17,S,39
104/04/14,X1,38
104/04/14,X2,1
104/04/14,X3,48
104/04/14,X4,49
104/04/14,X5,23
104/04/14,X6,22
104/04/14,S,11
104/04/10,X1,44
104/04/10,X2,17
104/04/10,X3,10
104/04/10,X4,11
104/04/10,X5,42
104/04/10,X6,20
104/04/10,S,13
104/04/07,X1,17
104/04/07,X2,47
104/04/07,X3,11
104/04/07,X4,45
104/04/07,X5,19
104/04/07,X6,33
104/04/07,S,4
104/04/03,X1,36
104/04/03,X2,13
104/04/03,X3,43
104/04/03,X4,32
104/04/03,X5,42
104/04/03,X6,40
104/04/03,S,41
104/03/31,X1,2
104/03/31,X2,32
104/03/31,X3,43
104/03/31,X4,13
104/03/31,X5,25
104/03/31,X6,4
104/03/31,S,15
104/03/27,X1,12
104/03/27,X2,36
104/03/27,X3,24
104/03/27,X4,13
104/03/27,X5,18
104/03/27,X6,15
104/03/27,S,39
104/03/24,X1,9
104/03/24,X2,4
104/03/24,X3,6
104/03/24,X4,17
104/03/24,X5,3
104/03/24,X6,24
104/03/24,S,28
104/03/20,X1,4
104/03/20,X2,13
104/03/20,X3,7
104/03/20,X4,29
104/03/20,X5,9
104/03/20,X6,46
104/03/20,S,8
104/03/17,X1,36
104/03/17,X2,42
104/03/17,X3,49
104/03/17,X4,5
104/03/17,X5,32
104/03/17,X6,40
104/03/17,S,1
104/03/13,X1,6
104/03/13,X2,22
104/03/13,X3,9
104/03/13,X4,14
104/03/13,X5,33
104/03/13,X6,16
104/03/13,S,11
104/03/10,X1,11
104/03/10,X2,25
104/03/10,X3,46
104/03/10,X4,47
104/03/10,X5,3
104/03/10,X6,34
104/03/10,S,42
104/03/06,X1,44
104/03/06,X2,22
104/03/06,X3,21
104/03/06,X4,6
104/03/06,X5,37
104/03/06,X6,35
104/03/06,S,29
104/03/03,X1,43
104/03/03,X2,46
104/03/03,X3,41
104/03/03,X4,6
104/03/03,X5,11
104/03/03,X6,4
104/03/03,S,21
104/02/27,X1,2
104/02/27,X2,6
104/02/27,X3,43
104/02/27,X4,38
104/02/27,X5,27
104/02/27,X6,34
104/02/27,S,45
